cid,mp
14940,1840.00
11430,899.00
23663620,190.00
30856,500.00
6040503,111.00
7579,189.00
2723949,113.50
7257,71.50
8749,93.00
227,145.00
6945,32.00
8489,46.00
7015,51.00
7102,51.00
7693,31.30
11137,96.80
6028,70.00
1017,230.00
7810,7.50
23994,419.53
8346,25.00
4937,229.70
2723790,177.00
3346,7.00
9317,280.00
6099,105.00
10777,88.00
11493,77.50
10871,178.50
11485,87.00
7933,33.50
4684,42.80
7245,9.80
22188,176.00
6581,13.56
637563,21.30
6322,244.00
5960,270.50
7628,170.90
24632,1353.00
289,105.00
11009,474.00
6950,40.00
642197,2.00
6895,51.30
262,19.00
9570071,99.50
736366,198.00
7551,75.50
14119,128.00
10234,66.50
4928,91.50
13305,57.00
8313,196.00
9411,158.00
13450,104.00
13783,56.50
2566,153.20
8371,292.00
11380,27.00
7639,75.50
25912,96.00
9836,36.00
13836,239.00
17581,134.00
6621,98.00
15910,252.10
9300,60.25
18346908,1235.00
9864,45.50
16682942,156.00
16554,138.00
17516,87.25
24738,167.00
16686,122.50
299,350.00
7157,145.00
17168,53.00
14145,105.30
5284376,27.50
7541,159.50
28935,72.50
6624,70.00
7430,195.00
4477,227.50
8427,117.50
7327,46.00
15787,70.50
18771,220.00
15530,212.50
9738,65.00
3082,52.25
17345,25.50
31200,0.30
5371562,54.50
4096,44.90
13709,39.00
10800,86.00
14994,126.00
6588,0.00
7732,57.20
16685273,550.00
6093286,408.00
73415757,260.00
11073337,450.00
10564,500.00
10522,36.75
23978,1083.00
323,71.00
3035,89.00
8411,137.00
7280,5.00
7070,132.50
7206,9.00
8413,130.00
8554,5.50
10788,106.00
2723650,203.00
26710,180.00
284,8.30
3767,171.40
24572,280.00
11727,315.00
24460,844.00
5284406,75.00
28780,140.00
16945,485.00
14802,795.00
7474,83.00
16682730,149.00
14264,31.00
6794,337.00
8947,355.00
17110,136.00
17717,90.50
8686,49.50
17432,22.00
13263,83.60
8297,66.10
14337,11.50
16562,163.75
441140,220.00
8370,228.83
54678504,174.00
12572,69.50
13290,69.00
13904,85.00
28936,77.00
22094,73.00
9502,93.50
12901,72.35
4109,78.50
7153,94.00
16073,45.50
17109,171.00
18290,95.50
8594,203.00
13814,194.00
9037,17.00
21330,120.50
6720,144.00
26597,103.00
15643,102.00
7017,59.00
6732,109.50
11378442,315.00
15546,206.00
7159,180.00
6758,176.00
16116,135.00
5235,993.00
15331,154.50
15969,113.00
8330,99.50
8305,147.00
8286,117.00
6421,57.50
5543,34.00
9864905,196.00
16682804,122.50
9907219,119.00
14993,176.00
54678486,161.00
5284484,157.00
8722,246.00
5950,297.00
6274,287.00
1118,10.31
335,31.00
2879,34.77
342,12.20
31217,3.50
6140,283.00
24825,1000.00
61534,230.00
21871923,780.00
22044,29.00
5281,69.30
441071,284.00
6057,344.00
8066,50.00
28202,490.00
8712,15.00
7811,43.50
6645,28.50
5430,304.50
11205,90.10
8530,128.50
6862,135.00
8298,37.00
6954,121.00
7813,43.60
7812,72.50
2727,128.00
7899,41.00
6636,62.00
6635,86.50
7511,251.00
12007,7.00
7255,26.00
7251,30.00
7260,26.00
24409,97.50
10439,58.10
16211460,380.00
7000,6.20
6780,286.00
5359367,271.00
8490,205.50
5237,35.20
8593,218.00
7467,20.50
8496,347.00
7259,15.50
6896,11.20
7248,51.00
7949,9.80
11775,127.00
5962,224.00
5862,260.00
11831,158.00
6326954,937.20
23985,1064.76
10005,209.50
135398634,360.00
16850,315.00
5610,164.50
5288826,255.00
6009,108.00
3278,121.50
6051,128.00
2148,198.50
5359371,181.00
192197,186.50
10219,74.00
5828,306.00
10313134,650.00
8961,92.00
7018,155.00
9169,400.00
27441,230.00
18932,143.00
16932,74.00
568,86.50
6854,245.00
6853,114.76
995,99.00
444795,181.00
11079,257.50
5280954,238.50
12588,28.90
7564,75.00
3821,92.50
5944,218.00
24580,700.00
6992,21.00
7721,34.00
7807,66.25
7174,75.00
4174,50.50
2723601,360.00
4114,148.00
16682924,181.00
108177,58.44
5558,8.69
7814,146.00
23690431,245.00
8010,32.00
23995,1854.00
26793,410.00
6327182,449.80
23948,1964.00
8289,49.39
7076,87.00
6766,56.20
131842327,1500.00
7577,92.50
24930,700.00
5359327,752.00
23989,1135.00
2336,179.00
5641,49.00
14985,3.00
