cid,mp
6590,"-47 °C"
2777982,"MP: SUBLIMES"
6610,"179.4-180.4 °C"
6618,"179 °C"
6625,"147.9 °C"
6628,"62 °C"
6638,"33 °C"
6643,"94-95 °C"
6649,"150-160 °C (decomposes)"
6673,"180-184 °C"
6681,"221 °C"
6688,"196 °C"
6697,"170 °C"
6777,"66 °C"
6782,"-64 °C"
6788,"2.5 °C"
6813,"127-129 °C"
6815,"209 °C"
6894,"O-2 °C"
6923,"-6.8 °C"
6924,"156.3 °C"
6937,"46 °C"
6942,"110 °C (decomposes)"
6953,"83 °C"
6984,"14 °C"
6997,"18 °C"
7002,"-30.43 °C"
7003,"-2.5 °C"
135408793,"210 °C (decomposes)"
7040,"18.3 °C"
7042,"138 °C"
7055,"34.6 °C"
7064,"227-228 °C"
7093,"45.5-46.5 °C"
7103,"164-165 °C"
7104,"222-223 °C"
7108,"185.1 °C"
7115,"210.1 °C"
7150,"-12.35 °C"
7198,"14 °C (cis-isomer), 71 °C (trans-isomer)"
7217,"-10 °C"
7219,"-1.8 °C"
7230,"104 °C (MIN)"
7238,"-35.59 °C"
7246,"30 °C"
7247,"-43.77 °C"
7249,"62.5 °C"
7262,"50 °C"
7267,"74.5 °C"
232703,"FREEZING POINT: -100 °C"
7277,"-74 °C"
7282,"-162.9 °C"
7288,"-39 °C"
7289,"-4 °C"
7295,"-32.3 °C"
7308,"150 °C"
7309,"23 °C"
6,"52-54 °C"
7333,"179 °C"
811,"162-164 °C WITH DECOMP, ALSO REPORTED AS 172 °C"
7346,"-53.5 °C"
7351,"-80.66 °C"
7352,"Freezing pt: -61 °C"
7355,"-40 °C"
7360,"Less than -80 °C"
7366,"-57.8 °C"
17100,"35-40 °C"
7397,"69-71 °C"
7398,"55 °C"
7403,"164.5-165.5 °C"
7411,"-16.4 °C"
7415,"FP: BELOW -77 °C"
7440,"30-31 °C"
7450,"-61 °C"
7451,"43-44 °C"
7455,"33.2 °C"
7459,"-89.84 °C"
7472,"53 °C; also stated as 41 °C"
7486,"-17.1 °C"
7488,"82-84 °C"
7495,"60 °C"
7508,"2 °C"
79,"51 °C"
7517,"89-90 °C"
7522,"29 °C"
7569,"80-90 °C"
7573,"75 °C"
7589,"18 °C"
7591,"52-53 °C"
7594,"150 °C"
7597,"80-81 °C"
7607,"43 °C"
7648,"125 °C"
7666,"-67.5 °C"
7668,"-99.5 °C"
7670,"-63.5 °C"
7671,"46.6-47.5 °C"
7672,"Freezing point: -30 °C"
7675,"-7.8 °C"
1752,"42 °C"
7725,"-6 °C"
7731,"-32 °C"
7735,"43 °C (cis-isomer), 67 °C (trans-isomer)"
61012,"-65.5 °C (freezing point)"
7749,"-73.9 °C"
7789,"82 °C"
7798,"-75 °C"
7820,"19.5 °C"
7825,"Freezing point: -16.9 °C"
7827,"-47 °C"
7836,"Freezing point: -41.5 °C"
7869,"-106.3 °C"
24764,"-66 °C"
6514,"16.8 °C"
7913,"190 °C, DECOMP"
7916,"-92.9 °C"
7935,"62-63 °C"
7948,"64 °C"
7963,"3.68 °C"
7969,"-14.87 °C"
7985,"FP: -10 °C"
7991,"-34.5 °C"
7993,"FP: -70 °C"
N/A,"-60.4 °C"
8006,"-58.90 °C"
8031,"92 °C"
8037,"FP: -55 °C"
8043,"FP: -50 °C"
8044,"HARD; HIGH MELTING POINT"
8050,"-18 °C"
8171,"FP: -31.5 °C"
8345,"FP: -55 °C"
8492,"108 °C"
31398,"150 °C"
8521,"175.2-176 °C"
8689,"98 °C"
8814,"85 °C"
8844,"-19.8 °C"
8906,"-20 °C"
9246,"GREATER THAN -10 °C"
1474,"72 °C"
N/A,"1 °C"
10795,"-113.2 °C"
11123,"63-64 °C"
11153,"140 °C ... slowly solidifies to a whole white solid"
11814,"86-87 °C"
11844,"24 °C"
11872,"85 °C"
12281,"51-53 °C"
12443,"279.5-280.5 °C"
12477,"103 °C"
13360,"FP: -12 °C"
14487,"-80 °C (Freezing point)"
14832,"1117 °C"
N/A,"Freezing point: -88 °F (-67 °C)"
15433,"130.5 °C"
15752,"153 °C"
16680,"6 °C"
16692,"185-197 °C"
17050,"< -60 °C"
17869,"-30 °C (freezing point)"
17946,"21 °C"
8458,"133.5 °C"
31279,"-88.4 °C"
15365,"FREEZING POINT: 22.89 °C"
8836,"-47 °C"
5365125,"-60 °C"
8881,"-99.5 °C"
5354342,"-26.4 °C"
9154,"110.2 °C"
16682938,"145 °C"
9564,"144-145 °C"
9865,"-109 °C"
10241,"84 °C"
10317,"118-118.5 °C"
11086,"20 °C"
11122,"69 °C"
11553,"62.5 °C"
11595,"96 °C"
11596,"53 °C"
11761,"63 °C"
11852,"229.5 °C"
11883,"58.0 °C"
11943,"90 °C"
12075,"52.5 °C"
12332,"101 °C"
12364,"220 °C"
12682,"-1 °C"
12703,"LESS THAN 20 °C"
12798,"97-98 °C"
13010,"96 °C"
13586,"-135 deg"
15216,"240-243 °C"
15529,"155-157 °C"
16681,"105-115 °C"
16987,"146.5 °C"
17170,">250 °C (dec)"
8149,"-5.50 °C"
8065,"7 °C (45 °F)"
8075,"-100 °C"
743,"97.5-98 °C"
8085,"-73.5 °C"
8091,"-40 °C"
8093,"-16 °C"
8094,"-7.17 °C"
8098,"-50 °C"
8110,"-75 °C"
82916,"-70 TO -69 °C"
8139,"5.2 °C"
8142,"-57.8 °C"
8144,"-49.2 °C"
8158,"12.4 °C"
8165,"-25 °C"
9237,"158 °C"
9268,"60.4 °C"
760,"98 °C"
5283387,"76 °C"
9445,"220-221 °C"
9609,"-103.9 °C"
9775,"-56.6 °C"
9862,"FP: -67.1 °C"
8166,"-17 °C"
8170,"-45.1 °C"
8181,"30 °C"
8199,"-28 °C"
5364509,"-19.9 °C"
8206,"11-12 °C"
8207,"32.5 °C"
8212,"23 °C"
5365371,"75-80 °C"
8215,"79.95 °C"
6420241,"-1 °C"
8302,"-156.5 °C"
1483,"94-96 °C"
8398,"118-128 °C"
8430,"38.7 °C"
8437,"-28 °C"
8470,"-29.3 °C"
8479,"288 °C decomposes without melting"
8491,"68 °C"
24730,"45 °C"
5497163,"-4 °C"
31236,"14 °C"
31242,"46 °C"
20083,"-31.6 °C"
31284,"19 °C"
31287,"FREEZING POINT -90 °C"
31297,"Freezing point: -32 °C"
11807,"31 °C"
31335,"163-165 °C"
31341,"-80 °C"
31352,"212-220 °C"
31368,"-35.8 °C"
14896,"-61.5 °C"
31405,"37 °C"
8572,"144 °C"
8623,"10.2 °C"
8696,"Melts in the range between 53-58 °C if heated in an aluminum crucible under nitrogen; melts under decomposition in the range between 64-84 °C if heated in an glass capillary under air"
4445035,"384 °C"
8735,"ca. -13 °C"
8723,"FREEZING POINT: LESS THAN -70 °C"
8755,"60-61 °C"
8772,"288 °C (hydate)"
8795,"FP: 17.6 °C"
643684,"5.5 °C"
8840,"48 °C"
5354133,"Freezing point: -4.5 °C"
8879,"Freezing point: -4 °C"
8883,"95 °C"
8908,"-80.9 °C"
23665571,"FREEZING POINT: 455-464 °F= 235-240 °C= 508-513 DEG K"
8923,"Freezing point: -35.2 °C"
24181102,"63-64 °C"
8773,"159 °C"
8823,"FREEZING POINT -53 °C"
643833,"-80.0 °C"
16666,"41-43 °C"
10129,"-53 °C"
62034,"317.65 deg K"
10247670,"MP: 36 °C; OPTICAL ROTATION: -246 DEG @ 17 °C (C= 2 IN BENZENE) /CIS-, L-/; MP: 28 °C /CIS-, DL-/"
10346,"62.1 °C"
10481,"214 °C"
10472,"77 °C"
11083854,"99 °C"
10687,"75 °C (also reported as 72.57 °C)"
10698,"73 °C"
10724,"8 °C"
10747,"15.5 °C"
10897,"Melting point: -6.5 °C /Trans-isomer/"
10899,"-122.8 °C"
10907,"-107.45 °C"
10913,"-38 °C"
10927,"115-116 °C"
10946,"46 °C"
11005,"53.9 °C"
11040,"Freezing Point: approximately -66 °C"
11124,"-87.5 °C"
11130,"260 °C (decomposes)"
11146,"MP: 55 °C (ALPHA), 64.5 °C (BETA'), 73 °C (BETA)"
11168,"-51 °C"
86287517,"239 °C (decomposes)"
11203,"-137.4 °C"
11240,"-137.5 °C"
11239,"-168.5 °C"
11335,"49 °C (also reported as 45.62 °C)"
11357,"-46.5 °C"
11369,"3.5 °C"
14834,"400 °C, decomposes"
5287573,"-138.89 °C"
11535,"-136.2 °C"
2735122,"167 °C"
10313079,"277.5 °C"
11723,"-140 °C"
11734,"-12.1 °C"
12012,"7-8 °C"
12053,"36 °C"
12088,"256 °C"
12101,"-4 °C"
12180,"-85.8 °C"
638144,"0.8 °C"
62695,"-105.52 °C"
12276,"162 °C"
5326160,"-151.4 °C"
12388,"-5.35 °C"
12389,"5.87 °C"
12391,"9.95 °C"
12395,"4.1 °C"
12404,"66.1 °C"
12491,"11.5 °C"
12496,"118 °C"
12532,"41 °C"
5326161,"-140.2 °C"
12586,"-95 °C"
12620,"72.5 °C"
12736,"130-132 °C"
12738,"61 °C"
12971,"-61 °C"
3032354,"87 °C"
13101,"50 °C"
13271,"133.5 °C"
13521,"-70 °C"
13578,"FP: -12.5 °C"
13618,"58 °C"
13842,"111 °C"
16682948,"< -40 °C"
16682950,"-26.7 °C (Freezing point)"
16682951,"-87 °C"
14227,"-34.6 °C"
14242,"-42.5 °C"
14257,"-25.54 °C"
71311066,"1370 °C"
518710,"1940 °C"
14811,"1472 °C"
N/A,">550 °C at atmospheric pressure"
9833931,"1700 °C"
14828,"1194 °C"
61022,"-70 °C"
15619088,"Melting Point = 145 °C /2-Hydroxybenzenesulfonic acid/"
N/A,"-66.65 to 3.68 °C /individual isomers/"
138394846,">800 °C"
11099499,"2210 °C"
6432115,"-48 °C"
14855,"51 °C"
15390,"FP: BELOW -50 °C"
15407,"1494 °C"
15413,"-108.6 °C"
15513,"239 °C"
15688,"-40 °C"
15797,"45-46 °C"
16238,"14.5 °C"
16316,"-7.85 °C"
16476,"22 °C"
16584,"125.5 °C"
16637,"64 °C"
16990,"90.5 °C"
17004,"55 °C"
17016,"58 °C"
17159,"-13 °C"
17596,"281 °C"
17721,"79 °C"
16726,"226.6 °C"
17783,"128 °C"
18085,"65 °C"
12484,"215 °C"
N/A,"MP: 11-14 °C (freezing point)"
7369,"14.5 °C"
7434,"121.3 °C"
38307,"-96.8 - 101.8 °C"
15122,"3.5 °C"
23031,"272 °C"
9623,"-111.26 °C"
9158,"217 °C"
7236,"-27.8 °C"
11560,"-39.8 °C"
7805,"28.5 °C"
8855,"-89 °C"
8374,"142 °C"
447,"158 °C"
6318,"243 °C"
11328,"-16.9 °C"
8130,"-43.3 °C"
8497,"140-141 °C"
N/A,"157.4 °C"
7657,"3.6 °C"
23675242,"Decomposes above 238 °C (OECD Guideline 102)"
3037,"177-178 °C"
2723593,"165 °C"
16126812,"2,550 °C"
4266,"175 °C (decomposes)"
1727,"159.0 °C"
12414,"200 °C (DECOMP)"
737139,"146 °C"
10963,"-51 °C"
12762,"fp: -20 °C"
38235,"56.5 TO 57.5 °C"
8540,"106.5-107.5 °C"
5859,"52.5-53.5 °C"
12310946,"240-242 °C"
2723789,"183 °C"
11022444,"Explodes"
7859,"-48 to -52 °C"
N/A,"717 °C"
22833476,"340 °C"
24833,"632 °C"
10475,"320 °C (decomposes)"
15902,"-72.9 °C"
5281735,"96.4-97 °C"
1091,"70 °C with decomposition."
24642,"430 °C"
24937,"Alpha isomer: 206 °C: Beta isomer: transition point at 145 °C to alpha form; Gamma: transition point at 75 °C to beta form."
10332,"80-90 °C"
12688,"43 °C"
14236,"-63 °C"
15098,"-97 °C"
17593,"63.5 °C"
21484,"147 °C"
22691,"121 °C"
4068533,">300 °C"
19736,"-20 °C /pour point/"
520263,"Freezing point: -38 °C"
37840,"222 °C"
158333,"-21 °C /pour point/"
19855,"-70 °C"
521949,"135-138 °C"
19601,"< -70 °C"
7098,"34 °C"
7849,"-16.7 °C"
1127,"-96.16 °C"
8620,"231.5 °C"
9481,"-13 to -12 °C"
10039,"-138.8 °C"
10084,"Melting point with decomposition - 205 °C"
11169,"17.5 °C"
13192,"-67 °C (-89 °F)"
13286,"135 °C"
14741,"BELOW 0 °C"
15088,"67.5 °C"
62204,"-87.5 °C"
18725,"-46 °C"
18728,"70-77 °C"
22206,"175.5 °C"
22932,"-48 °C"
12563,"Melting point: 2-methyl: -0.2 °C; 3-methyl: 4.5 °C; 4-methyl: 49-50 °C."
23436,"-8 °C"
9117,"278.3 °C"
13940,"181-182 °C"
522524,"Melting point: 235 °C, with decomposition"
15559699,"160-161.5 °C"
N/A,"309 °C"
N/A,"137.0 °C"
29078,"920 °C"
26089,"316 °C"
25136,"1400 °C (decomposes)"
31426,"270-271 °C"
27324,"274 °C"
5845,"147.5 °C (CRYSTALLIZED FROM HEPTANE); 154-154.5 °C (CRYSTALLIZED FROM ETHYLACETATE)"
11990,"250 °C (decomposes)"
14532,"71.5 °C"
7951,"LESS THAN 0 °C"
21208,"161 °C"
29949,"170 °C"
21379,"107 °C"
7252,"64 °C"
9964072,"487 °C (decomposes)"
25516,"238 °C"
24549,"830 °C"
24833,"632 °C"
12278,"-78.5 °C"
11859,"101 °C"
27582,"57 °C (FP)"
6944,"130 °F (54 °C)"
9492,"108 °C"
517111,"58 °C (decomposes)"
11312,"63.5 °C"
16002,"Liquid at room temperature"
24008,"1170 °C"
24459,"501 °C"
516859,"200 °C (with decomposition)"
24826,"480 °C (decomp)"
24874,"-104 °C"
6518,"140.5 °C"
5282443,"59-61 °C"
17215,"-115 °C"
6420,"-31.8 °C"
7482,"71 °C"
2724165,"-14 °C"
10478,"146.7 °C"
12671,"32 °C"
13528,"-60 °C"
13830,"-170 °C"
16416,"207-208 °C"
169132,"Approximately -60 °C"
24682,"62.2 °C"
24555,"-121.0 °C"
2770,"581 °C decomposes"
24808,"1152 °C"
N/A,"51 °C; decomposes above 52 °C"
26031,"327 °C (decomposes)"
26040,"-20.5 °C"
22061591,"34-37 °C"
23953,"-185 °C"
16322,"1 °C"
36400,"340-375 °C"
61460,"57 °C when rapidly heated"
2331,"130 °C"
638186,"-49.8 °C"
14808,"3390 °C"
N/A,"166 °C"
20803,"255 °C (decomposes)"
24087,"<100 °C"
5234,"800.7 °C"
24857,"-71 °C"
N/A,"89-174 °C"
N/A,"-24.8 to 53.09 °C"
5831,"200-203 °C, some decomposition"
N/A,"184-185 °C"
6143,"72 to 74 °C"
967,"345-346 °C"
6500,"-50 °C"
6542,"Crystals from isopropanol + ether; Mp: 98-99 °C /Amiton acid oxalate, (amiton hydrogen oxalate)/"
2406,"188 °C"
7365,"158 °C (with decomp)"
7871,"-57 °C"
8108,"-92 °C"
31304,"203 °C"
16682936,"40-42 °C"
9271,"120-122 °C"
9737,"-26.4 °C"
10793,"45 °C"
10848,"-34 °C"
10923,"0.1 °C"
10968,"-85.5 °C"
5561,"-4 °C"
11167,"36 °C"
11704,"-112 °C"
2787703,"162 °C"
12232,"-84.67 °C"
12449,"210 °C, decomposes."
12540,"103.5 °C"
12664,"-38 °C"
13943,"167-169 °C"
14016,"37.5 °C"
14285,"Freezing point: -34 °C"
14300,"160.5 °C"
14322,"76-77 °C"
14957,"139-140 °C"
15432,"141-143 °C"
3000706,"190 °C"
17386,"37.3 °C"
17522,"14-15 °C"
19402,"140 °C"
19958,"132 °C"
20056,"104-106 °C"
24998,"Freezing point: less than -32 °C"
25670,"-29 °C"
26010,"77.9 °C"
30692,"<-10 °C"
31070,"49 °C"
31657,"100-102 °C, changes to a different crystalline form, mp 108-110 °C"
31957,"15-18 °C /technical grade/"
32184,"5 °C"
54680085,"198.3-199.8 °C (approximately 100% purity)"
39793,"Below -51 °C"
40813,"223-225 °C (decomp)"
12067,"93 °C"
56846457,"-36 °C"
23940,"640 °C /Plutonium metal/"
24824,"-254.54 °C (20.62 K) at 162 mm Hg"
446220,"98 °C"
6468,"46.5 °C"
5462328,"173 °C"
6435060,"-90.5 to -95.4 °C"
135398737,"183-184 °C"
23939,"1768.4 °C"
18636,"330-332 °C"
12668,"-17 °C"
13109,"206 °C"
5284499,"13-19 °C"
10297,"101-101.5 °C"
15450,"-106 °C"
5759,"124.5 °C"
12374,"41.5 °C"
9635,"14.37 °C"
12161,"-37.8 °C"
12500,"-27.3 °C"
16682746,"45 °C"
2200,"120-122 °C"
5281069,"177-178 °C"
5405,"146.5-148.5 °C"
4612,"147-149 °C"
135398513,"256.5-257 °C"
135398740,"250 °C (decomposes)"
37542,"166-168 °C (aq ethanol); 174-176 °C (ethanol)."
21704,"257.0-257.5 °C (0.4 H2O)"
35370,"106-112 °C"
36462,"236-251 °C"
3950,"90 °C"
441307,"141-143 °C"
441325,"156 °C"
2249,"146 - 148 °C"
44093,"103-104 °C"
39186,"212 °C (decomposes)"
104769,"85-86 °C"
39147,"124-136 °C"
33624,"71.5-72.5 °C"
53232,"179 °C"
5702062,"227-229 °C (decomposition)"
68552,"213.5-215 °C"
N/A,"248 °C"
4828,"171-173 °C"
51082,"203-5 °C"
135403648,"245 °C (decomp)"
452548,"242-246 °C"
439693,"220-225 °C"
135398739,"160-163 °C"
1982,"82-89 °C /Technical grade 82-90% purity/"
1988,"10.6 °C"
44072,"124-125 °C"
93357,"78-81 °C"
91634,"210 °C (decomposes)"
39230,"85 °C"
6442842,"69 °C"
170012,"235-236 °C (decomp.)"
44465,"150-151 °C"
16422,"53-54 °C"
36879,"37 °C ((E)- isomer); ((Z)- isomer is an oil at room temperature)"
25429,"Decomposes at 300 °C"
30913,"179 °C to 181 °C (with decomposition)"
15553,"151-152 °C"
7542,"113 °C"
104926,"60 °C"
2912,"70 °C"
47866,"224.9 °C"
1489,"118-120 °C"
40585,"90 °C"
39985,"39-41 °C"
54676884,"215-217 °C"
37123,"228 °C"
54778,"25 °C"
41385,"167 to 169 °C"
34468,"98.0-99.0 °C"
28292,"-25 °C"
10342051,"59-60.2 °C"
37995,"-3.35 °C"
16683004,"138-139 °C"
62857,"158.4-158.9 °C"
51605,"53-54 °C"
47326,"45-50 °C"
7560,"133-134 °C"
54698175,"MP: 181-191 °C /cis-isomer/; 163-166 °C /trans-isomer/"
50897,"13 °C"
43079,"154-155 °C"
50465,"232 °C"
47898,"108 °C"
50516,"-14.1 °C (99.5% purity, glass transition temperature)"
51556,"220 °C"
53597,"215 °C"
39965,"117.2 °C"
13218777,"105.5 °C"
37175,"52.7 °C"
49901,"190 °C"
N/A,"113-145 °C (due to isomer ratio)"
54738,"171 °C"
54739,"219-222 °C (decomposition)"
54740,"173 °C"
73672,"176-179 °C"
12940701,"31 °C"
N/A,"203 °C (dec)"
40896,"183-185 °C"
5656,"Crystals from ethyl acetate; melting point 102-104 °C; specific optical rotation: +27.6 deg (c = 1.07 in 95% ethanol) /Venlafaxine (+)form/"
N/A,"Decomposes at approximately 156 °C"
4169,"-62.1 °C"
6336,"63 to 68 °C"
27189,"75 °C"
14210,"Solidifies at -28 °C"
38479,"56-57 °C"
441871,"169 °C"
37125,"-15 °C /technical grade/"
23681045,"Decomposes at 165-200 °C"
83975,"68-70 °C"
12898,"93 °C"
48132,"138-148 °C"
33565,"155 °C (decomposes)"
443629,"130-135 °C (with decomp)"
560193,"43 °C"
39676,"108 °C"
17563,"99 °C"
5360515,"169 °C"
4192,"158-160 °C"
9385,"-107 °C"
17822,"-199 °C"
9633,"-100.6 °C"
13129,"-103.296 °C"
15586,"-103.5 °C"
15442,"-101.2 °C"
5556,"233-235 °C"
41693,"96.6 °C"
5284594,"105-110 °C"
13818,"108.5 °C"
7305,"-42 °C"
21013,"116.5 °C"
13636,"115 °C"
9142,"273-274 °C"
23938,"1554.9 °C"
24425,"196 °C /Anhydrous chromic acid/"
6557,"The generally accepted crystal melting temperature of natural rubber is 30 °C."
11345,"-57 °C"
6529,"-35 °C /crystallizing point/"
17725,"78-9 °C"
2733526,"96-98 °C"
2724354,"193 °C"
9625,"-159.5 °C"
31301,"-110.32 °C"
12983,"< -50 °C"
40326,"<20 °C (OECD Method 102)"
5281873,"Below 10 °C"
3034368,"172 °C (decomposes)"
57363,"252-254 °C"
33661,"-25 °C"
2247,"172.9 °C"
7303,"36.4 °C"
7767,"-21 °C"
8842,"<-20 °C"
7924,"-48.8 °C"
3102,"48.5 °C"
31337,"214 °C (pure)"
560256,"110 °C"
8663,"121.6 °C"
8892,"-3.4 °C"
3893,"43.8 °C"
19463,"10 °C"
20011,"178-210 °C"
24773,"42-43 °C"
N/A,"<25 °C"
36314,"213-216 °C (decomposition)"
978,"188.5 °C"
55245,"150 °C"
30773,"167.5-169 °C"
2788,"178-179 °C"
30479,"126.2 °C"
33775,"184 °C"
34192,"3.3 °C"
47491,"176 °C"
47938,"84-85 °C"
52999,"163 °C"
56160,"181 °C"
4046,"174-176 °C"
11006,"18.18 °C"
37517,"approx 136 °C"
N/A,"215 °C"
39385,"82.3 °C"
29393,"137-138 °C"
8816,"64.5 °C"
5383,"161.5-164 °C"
31677,"<-5 °C"
29575,"243-244 °C"
9631,"-78 °C"
9632,"-117 °C"
9444,"228-230 °C (decomposes)"
451706,"147-148 °C (decomposes with evolution of gas)"
5284373,"148-151 °C"
34457,"163-164 °C"
3657,"141 °C"
6597,"12 °C"
5364079,"160-161 °C"
86298,"127-148 °C"
91650,"96.3 °C"
10413,"48-50 °C"
12021,"0.5 °C"
31170,"1070 °C"
29732,"90 °C"
3032791,"172 °C (decomposes)"
3032792,"194 °C (decomposes)"
N/A,"86 °C"
62155,"172.6 °C"
9920327,"150-155 °C"
1388,"40-42 °C"
6408,"-105.3 °C"
6966,"286 °C"
71188,"219-221 °C"
5360835,"29.78 °C"
3380,"166-167 °C"
40839,"230-232 °C"
657237,"260 °C"
148124,"232 °C"
5359967,"156.6 °C"
24812,"583 °C"
61105,"-82.6 °C"
61112,"-94 °C"
62353,"-97 °C"
19427,"117.5 °C"
21694,"155 °C"
21803,"45.5-46.5 °C"
25059,"123 to 126 °C"
32872,"Less than -12 °C"
34526,"MP: 15-18 °C /Technical/"
2764,"225-257 °C, decomposes"
21480,"232 °C"
53518,"91.7-92.1 °C"
62276,"44-46 °C"
176879,"123-125 °C"
93541,"176-179 °C"
31645,"90.5 °C"
443059,"84 C to 99.5 C"
92431,"59.5 °C"
123627,"Melts/decomposes @ 269 °C"
86453,"216-218 °C"
6125184,"135.5 °C; decomp at 155 °C"
86429,"76-79 °C"
92425,"201-204 °C"
86137,"166.0 to 166.7 °C"
86369,"121-123 °C"
91776,"77.3-79.1 °C"
135492483,"106 °C"
3034285,"116 °C"
11097730,"195.5 °C"
86367,"75.9 °C"
6112114,"97.2-101.7 °C"
86412,"132.9 °C"
5280440,"128-132 °C"
3690,"39-41 °C"
71905,"209 °C (decomposes)"
656958,"Crystals from acetone. MP: 147-148 °C (after stirring in ethyl acetate and drying at 60 °C and 80 °C overnight) /Tiamulin fumarate/"
135403805,"239.5-240 °C"
71674,"188-189.5 °C"
16132294,"No definitive melting point"
441145,"MP: 103-105 °C /Monensin monohydrate/"
3085092,"112.5-113.5 °C"
127053480,"115-120 °C"
3374,"253-255 °C"
5323714,"255 °C"
2662,"157-159 °C"
5354618,"29 °C"
2771,"Crystals from isopropanol. MP: 182-183. Freely soluble in water, ethanol, chloroform /Citolapram hydrobromide/"
3961,"183.5-184.5 °C"
2585,"114-115 °C"
441338,"196 °C /Zolpidem/"
54891,"120-130 °C (crystals from ethyl acetatetoluene) and 119-121.5 °C (crystals from acetonitrile)"
5533,"86-87 °C, also reported as mp 96 °C"
91741,"202-205 °C"
91773,"191 °C"
3352,"200-201 °C"
91754,"111-112 °C"
91753,"47 °C"
9576037,"217 °C"
60758,"288-291 °C"
18996,"Decomposes at 208 °C"
62781,">300 °C, with discoloration at about 296 °C"
41428,"150.5 °C"
42586,"71-72 °C"
101525,"194.8-197.4 °C (decomposition)"
23924,"2,446 °C"
7568320,"50 °C"
N/A,"Decomposes"
7099,"284-286 °C"
5284401,"94-95 °C"
345512,"175-176 °C"
31586,"40-65 °C (freeze dried)"
266461,"90-90.5 °C"
5362124,"148-149 °C"
N/A,"216-219 °C"
2265,"dec 243-244 °C"
53462,">300 °C"
62805,"202 °C"
2179,"230-240 °C"
689043,"Decomposes at 223-225 °C (Softens at 194 °C)."
60018,"203-204 °C"
31186,"222-224 °C"
3220,"256-257 °C"
285666,"approx 143 °C"
11054,"195-196 °C"
7610,"29.5 °C"
8776,"Decomposes @ 228 °C"
77797,"96 °C"
9397,"-50 °C"
5997,"148.5 °C"
12008,"45.5 °C"
15478,"222 °C"
36159,"-5 °C"
6537506,"200 °C (range, 167-257 °C)"
3034400,"70-150 °C (decomposition)"
60613,"260 °C (dec)"
54682651,"169-171 °C"
54689800,"124 °C"
6733,"68-69 °C"
N/A,"233-236 °C"
4943,"18 °C"
62478,"36 to 38 °C"
11534837,"44.6 °C"
9554,"54.3 °C"
61938,"85-89 °C /Technical/"
34766,"33.4 °C"
123596,"MP: 226 °C (alpha form); 217 °C (beta form)"
8512,"193.8 °C"
10163,"330 °C"
5281744,"197-198 (decomposes)"
24293,"646 °C"
15376,"232-233 °C"
17818,"161 °C"
10285,"9.5 °C"
60825,"160-162 °C"
24066,"215-217 °C; also reported as 209-210 °C"
5462355,"150-153 °C (decomposes)"
441386,"MP: 226-228 °C /Delavirdine/"
64139,"139-141 °C"
4463,"247-249 °C"
24261,"1710 °C"
5646,"204 °C"
N/A,"Freezing point: -70 °C"
16667669,"112-115 °C"
43815,"Odorless off-white powder; molecular weight: 374.84; melting point: 120-138 °C /Hydrochloride hemihydrate/"
5935,"109-111 °C"
N/A,"< -73 °C"
42128,"196-196.5 °C"
56841539,"Crystalline solid; MP: 281-286 °C /Aristolochic Acid I/"
4235,"137 °C"
3155,"55-57 °C"
26758,"141-142 °C"
3947,"104-406 °C"
5282375,"104-105 °C"
449171,"190-191 °C"
5284513,"228-230 °C"
17142,"95 °C"
8062,"54.5 °C"
N/A,"75 °C"
3092,"181 °C"
18745,"170.5 °C"
5564,"54-57.3 °C"
2450,"131.5 °C"
9552079,"134 °C"
12231,"-16 °C"
12307,"-100 °C"
24227,"-66 to -64 °C"
4116,"-35 °C"
3883,"178 to 182 °C (decomposes)"
447043,"113-115 °C"
2083,"151 °C (Lunts); 157-158 °C (Collins)"
2118,"228-228.5 °C"
54454,"135-138 °C"
7705,"-87.9 °C"
8680,"-82.7 °C"
8617,"124.5 °C"
243274,"95-97 °C"
73957,"181-183 °C"
N/A,"Solidifies at -6 to -3 °C"
2337,"92 °C"
31289,"-19.3 °C"
2771871,"127 °C"
7013,"61 °C"
135,"214.5 °C"
3033,"156-158 °C"
8247,"131 °C"
10866,"112-113 °C"
10607,"183 °C"
446512,"171-175 °C; 164-166 °C"
15571694,"161-162 °C"
40024,"151-153 °C"
21608802,"202-205 °C"
440907,"155-157 °C"
54682463,"245-246 °C"
175967,"165 °C"
N/A,">360 °C"
86222,"-22.1 °C"
23677927,"Decomposes at 308 °C"
36183,"456 °C"
19645,"37-46 °C /Measured/"
28777,"92.6 °C"
N/A,">300 °C[US EPA; High Production Volume (HPV) Challenge Program. The HPV voluntary challenge chemical list. Robust summaries and test plans. 2-Naphthalenesulfonic acid, 6-hydroxy-5-"
N/A,"Fibrous glass products are amorphous and do not experience a distinct melting point ... but soften over a fairly broad temperature range."
91731,"115-117 °C"
93315,"59.6 °C"
213032,"140.3-141.8 °C"
75103,"-91 °C"
N/A,"136 °C"
93542,"104.6 °C"
86354,"64-66 °C; 61-62 °C /Technical/"
180089,"49.5 °C"
213031,"153 °C"
N/A,"98.9 °C"
84098,"138-138.5 °C"
11664966,"72.9 °C"
153974,"101-102 °C"
122087,"158-160 °C"
107720,"88.1 °C"
86287519,"176.8 °C"
3827,"152-153 °C"
5284616,"183-185 °C"
