cid,mp
11237,"31 °C"
3039,"Less than -60 °C"
6641,"40 °C"
6492,"32.9 °C"
969491,"175.5 °C"
6356,"-126.8 °C"
25135,"-107.3 °C"
25134,"-46 °C"
16211214,"75 °C (decomposes)"
7497,"FREEZING POINT: -70 °C"
2286,"8-12 °C"
8177,"-68.1 °C"
31288,"-32 °C"
10461,"13-14 °C"
8086,"32-42 °C"
8343,"-55 °C"
17038,"160-161 °C; decomposes slowly at melting point"
9275,"-50 °C"
7641,"-67.8 °C"
8831,"-20 °C"
171548,"232 °C (decomposes)"
26077,"1127 °C"
26127,"White solid. MP: 100 °C (loses water)  (decomposes). Soluble in water, acetic acid. /Beryllium phosphate trihydrate/"
7769,"8-10 °C"
25879,"Approximately 200 °C (alpha); decomposes at 138 °C (beta)"
7773,"49 °C"
31250,"40 °C"
8254,"-141.5 °C"
24589,"True MP: 555 °C; becomes free-flowing at about 800 °C"
1068,"-98.24 °C"
24588,"415 °C"
2943,"155-156 °C"
5273469,"39 °C"
2513,"195 °C"
6398,"-16 °C"
18141,"Stable to 240 °C"
10687,"20-76 °C"
31271,"7.49 °C (280.65 K)"
13728,"134.5 TO 135.5 °C"
7503,"-39.4 °C"
7498,"-1.5 °C"
14716,"-30 °C"
10426,"-57 °C"
7187,"104.5 °C"
24535,"250 °C"
24203,"MP: loses H2O at 92.5 °C; Specific gravity: 2.066 at 15 °C /Disodium phosphate dihydrate/"
656671,">302 °F (decomposes)"
3118,"-25 °C"
3120,"158-159 °C"
7412,"-0.5 °C"
8400,"MP:133-4 °C /D & L FORMS/"
240,"-57.12 °C"
2730,"41-42 °C"
3224,"106 °C (pure)"
168842,"Converted to anhydride at 90 °C"
12932,"38.4 °C"
444679,"170 °C"
14773,"450 °C"
24587,"200 °C (decomposes)"
3286,"-12 to -13 °C"
3293,"Approximately 0 °C"
24798,"590 °C"
8868,"-45 °C"
6877,"13 °C"
26059,"414 °C"
7762,"-97 °C"
2319,"65-66.5 °C"
7751,"-26 °C"
10928,"-80.6 °C"
17531,"53 °C"
7344,"-26 °C"
2256,"177.0 °C"
10903,"-113 °C"
12259,"-94.6 °C"
8026,"FP: -58 °F= -50 °C= 233 deg K"
54680660,"112 °C"
14888,"313 °C (claudetite); 274 °C (arsenolite)"
24575,"140.9 °C"
24571,"-5.9 °C"
